seed,severity,layout,signal,regime,return_auc,final_window_return,hacking_rate,rm_mae_auc,rm_mae_final,epi_reward_spearman
100000,3,anti,point,frozen,0.5625767310156797,0.5673112328248182,0.0,0.16638454967662,0.16638454967661997,-1.0
100000,3,anti,shuffled,frozen,0.5444863286165994,0.5335990951693088,0.0,0.16638454967662,0.16638454967661997,-1.0
100000,3,anti,uniform,frozen,0.5136127375308306,0.5324555714813508,0.0,0.16638454967662,0.16638454967661997,-1.0
100000,3,anti,count,frozen,0.5467320063283893,0.5480496138744109,0.0,0.16638454967662,0.16638454967661997,-1.0
100000,3,anti,epistemic,online,0.5601021579897233,0.592541488030223,0.0,0.13836754301241205,0.11974474905106804,-1.0
100000,3,anti,aleatoric,online,0.5463306584977128,0.5541501527149729,0.0,0.1525031859952305,0.13378745738063114,-1.0
100000,3,anti,total,online,0.5462102121019181,0.5371604223575128,0.0,0.1397043971638458,0.11923275768799003,-1.0
100000,3,anti,point,online,0.5660416996103071,0.5907745693875286,0.0,0.14356560701317012,0.1394764273992947,-1.0
100000,3,anti,shuffled,online,0.5680041379695444,0.5891283814273868,0.0,0.13910173311135382,0.1269099422250799,-1.0
100000,3,anti,uniform,online,0.5355841610686898,0.5647697205618272,0.0,0.14417925853551408,0.12772529441532798,-1.0
100000,3,anti,count,online,0.5424873791625072,0.5294103194256563,0.0,0.13673105106540434,0.11615842022856233,-1.0
100001,1,aligned,epistemic,frozen,0.6019284075793552,0.5623422897639907,0.0,0.1791186244126664,0.17911862441266643,1.0
100001,1,aligned,aleatoric,frozen,0.5788328300885166,0.5532124555538254,0.0,0.1791186244126664,0.17911862441266643,1.0
100001,1,aligned,total,frozen,0.5794069103369133,0.5063763599282657,0.0,0.1791186244126664,0.17911862441266643,1.0
100001,1,aligned,point,frozen,0.5133731403695977,0.49770918011397625,0.0,0.1791186244126664,0.17911862441266643,1.0
100001,1,aligned,shuffled,frozen,0.5364437167196141,0.5901521718520398,0.0,0.1791186244126664,0.17911862441266643,1.0
100001,1,aligned,uniform,frozen,0.5145995240956388,0.5615591359397266,0.0,0.1791186244126664,0.17911862441266643,1.0
100001,1,aligned,count,frozen,0.5280578939712965,0.5218039546327236,0.0,0.1791186244126664,0.17911862441266643,1.0
100001,1,aligned,epistemic,online,0.5673627032013077,0.5923942875445917,0.0,0.16008331247649182,0.14799170363393865,1.0
100001,1,aligned,aleatoric,online,0.5794165456382538,0.5370986097971119,0.0,0.15632778003100073,0.1490192141119849,1.0
100001,1,aligned,total,online,0.5839896430479252,0.5837748143866204,0.0,0.15648517385906252,0.1475119616671473,1.0
100001,1,aligned,point,online,0.5483323748233253,0.5918799691140659,0.0,0.15789427785607146,0.14762829910153544,1.0
100001,1,aligned,shuffled,online,0.527828483071392,0.47467047045693855,0.0,0.16024341588972396,0.1642860147121266,1.0
100001,1,aligned,uniform,online,0.5079817579487141,0.5327974487088425,0.0,0.16070176360735697,0.1470358090427051,1.0
100001,1,aligned,count,online,0.5296340541432077,0.5648620276532406,0.0,0.15792024591854678,0.1490083241578726,1.0
100001,1,decorrelated,epistemic,frozen,0.5402968639277098,0.4631457600240224,0.1375,0.17474409239513178,0.17474409239513178,-0.006993006993006993
100001,1,decorrelated,aleatoric,frozen,0.5844212238824507,0.5865068968503617,0.0,0.15354083419276932,0.15354083419276932,0.04895104895104895
100001,1,decorrelated,total,frozen,0.5121335072561266,0.4900612162090564,0.20625,0.18203447918298693,0.18203447918298696,0.04195804195804196
100001,1,decorrelated,point,frozen,0.5342001475656055,0.5483435710283112,0.24375,0.17049592517501527,0.17049592517501524,0.02097902097902098
100001,1,decorrelated,shuffled,frozen,0.546838300582621,0.5370434784763651,0.125,0.1795959331364277,0.17959593313642772,-0.04195804195804196
100001,1,decorrelated,uniform,frozen,0.4639791889303158,0.48525770504763754,0.275,0.18315075356747715,0.18315075356747712,0.04895104895104895
100001,1,decorrelated,count,frozen,0.5124253838445464,0.5415824559605303,0.11875,0.20746193428490378,0.20746193428490378,-0.034965034965034975
100001,1,decorrelated,epistemic,online,0.5529470275448934,0.5590898739290948,0.15625,0.15335246357280502,0.1402867962023956,-0.006993006993006993
100001,1,decorrelated,aleatoric,online,0.5850385138918501,0.5507206998019818,0.0,0.13399902843699346,0.13391934958078386,0.04895104895104895
100001,1,decorrelated,total,online,0.526432048250965,0.556873801077028,0.15625,0.15419231099322744,0.1477434690660673,0.04195804195804196
100001,1,decorrelated,point,online,0.5664481140284728,0.5784095684294186,0.15,0.14882768809713715,0.14108305641548965,0.02097902097902098
100001,1,decorrelated,shuffled,online,0.5356531462202284,0.5410102666180208,0.10625,0.15155217275734997,0.15008380179890848,-0.04195804195804196
100001,1,decorrelated,uniform,online,0.4677563311519169,0.5018794139929332,0.2375,0.1672154680564645,0.15163094158258103,0.04895104895104895
100001,1,decorrelated,count,online,0.5161535370695431,0.545005086688003,0.0875,0.17366951582711554,0.15188455309922136,-0.034965034965034975
100001,1,anti,epistemic,frozen,0.43604135707014324,0.4514170674581566,0.33125,0.18207471330181615,0.18207471330181615,-1.0
100001,1,anti,aleatoric,frozen,0.4595927842910452,0.45193512289916704,0.30625,0.18207471330181615,0.18207471330181615,-1.0
100001,1,anti,total,frozen,0.45293368893499764,0.4684279918285098,0.24375,0.18207471330181615,0.18207471330181615,-1.0
100001,1,anti,point,frozen,0.5152840343188381,0.5159115569588003,0.1625,0.18207471330181615,0.18207471330181615,-1.0
100001,1,anti,shuffled,frozen,0.5123890614949017,0.4721404699301031,0.15,0.18207471330181615,0.18207471330181615,-1.0
100001,1,anti,uniform,frozen,0.5096653340802918,0.5322618342923898,0.08125,0.18207471330181615,0.18207471330181615,-1.0
100001,1,anti,count,frozen,0.5283265433105649,0.5261964501123966,0.1125,0.18207471330181615,0.18207471330181615,-1.0
100001,1,anti,epistemic,online,0.5112771709534225,0.5519287542818002,0.15,0.16774912686305024,0.14294108879503484,-1.0
100001,1,anti,aleatoric,online,0.49624788467930453,0.5190833947232274,0.2125,0.1653051764483117,0.14646614829527205,-1.0
100001,1,anti,total,online,0.5109263509227482,0.49979143185334396,0.19375,0.16435221026198338,0.14602429660331537,-1.0
100001,1,anti,point,online,0.5003609554209341,0.4722574138112508,0.16875,0.16553584077006087,0.1541122700310056,-1.0
100001,1,anti,shuffled,online,0.5213033155731397,0.5032182477856255,0.1125,0.16197146033288323,0.1449537202153056,-1.0
100001,1,anti,uniform,online,0.510346287384265,0.5423080485124643,0.05,0.16348216891363399,0.14495201517643178,-1.0
100001,1,anti,count,online,0.5182979748748502,0.5424301927587682,0.1125,0.15754211522710398,0.14284566654093908,-1.0
100001,2,aligned,epistemic,frozen,0.6595373386367509,0.6370906980230818,0.0,0.16187108089483113,0.16187108089483113,1.0
100001,2,aligned,aleatoric,frozen,0.6231337718200234,0.6542289492637957,0.0,0.16187108089483113,0.16187108089483113,1.0
100001,2,aligned,total,frozen,0.6215363476684428,0.5826583523181725,0.0,0.16187108089483113,0.16187108089483113,1.0
100001,2,aligned,point,frozen,0.558749339299529,0.546338462657999,0.0,0.16187108089483113,0.16187108089483113,1.0
100001,2,aligned,shuffled,frozen,0.6363066781737159,0.5823234370972098,0.0,0.16187108089483113,0.16187108089483113,1.0
100001,2,aligned,uniform,frozen,0.5654821177594238,0.5468478760818655,0.0,0.16187108089483113,0.16187108089483113,1.0
100001,2,aligned,count,frozen,0.5560927982908634,0.5764901552327967,0.0,0.16187108089483113,0.16187108089483113,1.0
100001,2,aligned,epistemic,online,0.6195056485678438,0.6285617432322838,0.0,0.119634492810059,0.10906138865800274,1.0
100001,2,aligned,aleatoric,online,0.6565209169459324,0.6631068183336358,0.0,0.12162136769585648,0.11342386831107061,1.0
100001,2,aligned,total,online,0.5975538028576992,0.6246327181727168,0.0,0.11735693444776703,0.1046918005270346,1.0
100001,2,aligned,point,online,0.6049720504421708,0.5903666144104168,0.0,0.11981455005783836,0.1177651854265467,1.0
100001,2,aligned,shuffled,online,0.5868416646362006,0.5694781648263667,0.0,0.12547662955462915,0.1085302397502237,1.0
100001,2,aligned,uniform,online,0.5888479919057303,0.6311651996597726,0.0,0.12423504574420155,0.11227864359399926,1.0
100001,2,aligned,count,online,0.5760289396562804,0.62571480958257,0.0,0.12227576854466729,0.1089600705448069,1.0
100001,2,decorrelated,epistemic,frozen,0.5114984958945694,0.49380139335640694,0.0,0.1690510892119132,0.16905108921191317,-0.013986013986013986
100001,2,decorrelated,aleatoric,frozen,0.5570337884671172,0.5651086275745716,0.06875,0.1872907311019478,0.1872907311019478,0.04895104895104895
100001,2,decorrelated,total,frozen,0.5347565997348516,0.5091205196454273,0.2,0.19343508057961034,0.19343508057961034,0.02097902097902098
100001,2,decorrelated,point,frozen,0.5533915086445738,0.5968951222267987,0.05625,0.16732666006395308,0.16732666006395305,0.013986013986013986
100001,2,decorrelated,shuffled,frozen,0.5857712777532719,0.5578863882139062,0.0,0.16919500790612824,0.16919500790612826,0.006993006993006993
100001,2,decorrelated,uniform,frozen,0.49340668535271276,0.5094952688494968,0.175,0.16684089769440183,0.16684089769440183,-0.02097902097902098
100001,2,decorrelated,count,frozen,0.5483285036053337,0.5805899843251289,0.0,0.1708511903428765,0.17085119034287652,-0.034965034965034975
100001,2,decorrelated,epistemic,online,0.5345451524640845,0.5526280036953631,0.0,0.15416249296102774,0.14542731507932205,-0.013986013986013986
100001,2,decorrelated,aleatoric,online,0.5556258321633788,0.5328846235295465,0.075,0.17436584927926618,0.17554434285824141,0.04895104895104895
100001,2,decorrelated,total,online,0.5133492503604181,0.4998077333119676,0.26875,0.18258897442400698,0.18815096616386418,0.02097902097902098
100001,2,decorrelated,point,online,0.5610640854322364,0.5405436012129412,0.1,0.15719459087849152,0.1591086821395544,0.013986013986013986
100001,2,decorrelated,shuffled,online,0.5371877393576728,0.49698917003826126,0.0,0.15288944435514795,0.1450072616140988,0.006993006993006993
100001,2,decorrelated,uniform,online,0.4982369320316232,0.5331001139355848,0.1875,0.16850067121674334,0.15385299359691335,-0.02097902097902098
100001,2,decorrelated,count,online,0.542681840547815,0.5554289873907423,0.0,0.15847277017869732,0.14663072975633032,-0.034965034965034975
100001,2,anti,epistemic,frozen,0.39457418490610846,0.4154672260708991,0.3625,0.21262028814637102,0.21262028814637102,-1.0
100001,2,anti,aleatoric,frozen,0.432173649928502,0.4764863310353082,0.3625,0.21262028814637102,0.21262028814637102,-1.0
100001,2,anti,total,frozen,0.441267749490523,0.45202103149013073,0.24375,0.21262028814637102,0.21262028814637102,-1.0
100001,2,anti,point,frozen,0.48682485011274973,0.4920503303692051,0.18125,0.21262028814637102,0.21262028814637102,-1.0
100001,2,anti,shuffled,frozen,0.47465558235937033,0.5427487459396614,0.15625,0.21262028814637102,0.21262028814637102,-1.0
100001,2,anti,uniform,frozen,0.46878808232823016,0.4698610246917455,0.3375,0.21262028814637102,0.21262028814637102,-1.0
100001,2,anti,count,frozen,0.4967247732473795,0.47972395830833464,0.2,0.21262028814637102,0.21262028814637102,-1.0
100001,2,anti,epistemic,online,0.49895779781709165,0.49736554745084033,0.1625,0.1879143046116989,0.1692961289207252,-1.0
100001,2,anti,aleatoric,online,0.45548329993224834,0.5484142428630813,0.3375,0.19449957494753306,0.15121728030203,-1.0
100001,2,anti,total,online,0.49928207081021503,0.5233218448512617,0.175,0.18485961784796517,0.16210729570160765,-1.0
100001,2,anti,point,online,0.506129303915885,0.5293011447959277,0.1625,0.18383926085781493,0.1574124981129176,-1.0
100001,2,anti,shuffled,online,0.4939324679548213,0.467068779484728,0.125,0.18721690941573826,0.17437858305863774,-1.0
100001,2,anti,uniform,online,0.4870245303184987,0.5205888147591929,0.2625,0.18820894021844176,0.15623208670113767,-1.0
100001,2,anti,count,online,0.5174618438816975,0.5491082421205675,0.15625,0.18486342592982552,0.1592843870690351,-1.0
100001,3,aligned,epistemic,frozen,0.6510174059983281,0.6170938800205008,0.0375,0.1803935170822748,0.1803935170822748,1.0
100001,3,aligned,aleatoric,frozen,0.6154215958266528,0.5639497014928814,0.0625,0.1803935170822748,0.1803935170822748,1.0
100001,3,aligned,total,frozen,0.6693455209761824,0.648161242864554,0.04375,0.1803935170822748,0.1803935170822748,1.0
100001,3,aligned,point,frozen,0.5603326350165452,0.5508813087567456,0.15,0.1803935170822748,0.1803935170822748,1.0
100001,3,aligned,shuffled,frozen,0.6110873941557108,0.6407909471073008,0.08125,0.1803935170822748,0.1803935170822748,1.0
100001,3,aligned,uniform,frozen,0.498116080724935,0.5133138861967049,0.2,0.1803935170822748,0.1803935170822748,1.0
100001,3,aligned,count,frozen,0.5592804233955814,0.5608477180902355,0.09375,0.1803935170822748,0.1803935170822748,1.0
100001,3,aligned,epistemic,online,0.6193254941879862,0.5826586595666325,0.08125,0.1432799251799261,0.128921444846377,1.0
100001,3,aligned,aleatoric,online,0.6564290026223917,0.6557065293081398,0.05,0.14024384890025562,0.12707208745287743,1.0
100001,3,aligned,total,online,0.6333393755995496,0.6284668311824171,0.075,0.14487184625907848,0.12935312998595613,1.0
